gene,hpo_annotated,seizures,ID_DD,ADHD,sleep,speech_language_delay,motor_delay,anxiety,depression,aggressive_behaviour
KMT2C,True,1,1,0,0,1,1,0,0,0
ZNF292,True,1,1,1,0,1,0,0,0,0
SETBP1,True,1,1,1,1,1,1,1,0,1
FOXP1,True,1,1,1,0,1,1,1,0,1
MBD5,True,1,1,0,1,1,1,1,0,1
ATRX,True,1,1,0,1,0,1,1,1,0
DPYSL2,False,,,,,,,,,
HNRNPU,True,1,1,0,0,1,0,0,0,0
NCOA1,False,,,,,,,,,
NF1,True,1,1,1,1,1,0,1,0,0
TBL1XR1,True,1,1,0,0,1,0,0,0,0
WAC,True,1,1,1,1,1,1,1,0,1
KDM5B,True,0,1,0,0,1,1,0,0,1
ANP32A,False,,,,,,,,,
NIPBL,True,1,1,1,1,1,1,1,0,1
ASH1L,True,1,1,0,1,1,0,1,0,0
ANKRD11,True,1,1,1,0,1,0,0,0,0
PTEN,True,1,1,1,0,1,1,0,0,0
NBEA,True,1,1,1,0,1,1,0,0,1
CSNK2A1,True,1,1,1,1,1,1,0,0,0
NRXN3,False,,,,,,,,,
POGZ,True,1,1,1,1,1,1,1,0,1
DYRK1A,True,1,1,1,1,1,1,1,0,1
CASK,True,1,1,0,1,1,1,0,0,0
MYCBP2,False,,,,,,,,,
CTNNB1,True,1,1,0,1,0,1,1,0,1
BCL11A,True,0,1,0,1,0,1,0,0,0
TAOK1,True,1,1,1,0,1,1,0,0,0
KMT5B,True,1,1,1,1,1,0,0,0,1
SMARCA4,True,1,1,0,0,1,0,0,0,1
ARX,True,1,1,0,1,1,0,0,0,0
YY1,True,1,1,1,1,1,1,1,0,0
GIGYF2,True,0,0,0,1,0,0,0,1,0
KCNQ3,True,1,1,0,0,0,0,0,0,1
CREBBP,True,1,1,0,1,1,1,1,0,1
SHANK2,False,,,,,,,,,
TBCK,True,1,1,0,0,1,1,0,0,0
NEXMIF,True,1,1,1,1,1,1,1,0,1
NLGN4X,True,1,1,0,0,1,0,0,0,0
DDX3X,True,1,1,0,0,0,0,0,0,1
HECTD4,True,1,1,0,0,0,1,1,0,1
SMARCA1,False,,,,,,,,,
ELAVL3,False,,,,,,,,,
VEZF1,True,0,0,0,0,0,0,0,0,0
UPF3B,True,1,1,1,0,0,0,0,0,0
NSD1,True,1,1,1,0,1,1,1,0,1
ABCE1,False,,,,,,,,,
ASTN1,False,,,,,,,,,
DNMT3A,True,1,1,0,0,1,0,1,0,1
IRF2BPL,True,1,1,0,0,1,0,0,0,0
