gene,ensembl_id,sfari_score,syndromic
ABCE1,ENSG00000164163,1,0
ACTB,ENSG00000075624,1,1
ADNP,ENSG00000101126,1,1
ADSL,ENSG00000239900,1,1
AFF2,ENSG00000155966,1,0
AHDC1,ENSG00000126705,1,1
ALDH5A1,ENSG00000112294,1,1
ANK2,ENSG00000145362,1,0
ANK3,ENSG00000151150,1,0
ANKRD11,ENSG00000167522,1,1
ANP32A,ENSG00000140350,1,0
AP2S1,ENSG00000042753,1,0
ARF3,ENSG00000134287,1,0
ARHGEF9,ENSG00000131089,1,1
ARID1B,ENSG00000049618,1,1
ARX,ENSG00000004848,1,1
ASH1L,ENSG00000116539,1,0
ASTN1,ENSG00000152092,1,0
ASXL3,ENSG00000141431,1,1
ATRX,ENSG00000085224,1,0
AUTS2,ENSG00000158321,1,0
BAZ2B,ENSG00000123636,1,0
BCKDK,ENSG00000103507,1,0
BCL11A,ENSG00000119866,1,1
BRAF,ENSG00000157764,1,1
BRSK2,ENSG00000174672,1,1
CACNA1A,ENSG00000141837,1,1
CACNA1C,ENSG00000151067,1,1
CACNA1E,ENSG00000198216,1,0
CACNA2D3,ENSG00000157445,1,0
CAMK2A,ENSG00000070808,1,1
CAMTA2,ENSG00000108509,1,0
CAPRIN1,ENSG00000135387,1,0
CASK,ENSG00000147044,1,0
CASZ1,ENSG00000130940,1,0
CDKL5,ENSG00000008086,1,1
CELF4,ENSG00000101489,1,0
CHAMP1,ENSG00000198824,1,1
CHD2,ENSG00000173575,1,1
CHD3,ENSG00000170004,1,1
CHD7,ENSG00000171316,1,1
CHD8,ENSG00000100888,1,1
CIC,ENSG00000079432,1,0
CNOT3,ENSG00000088038,1,1
CORO1A,ENSG00000102879,1,0
CPSF7,ENSG00000149532,1,0
CREBBP,ENSG00000005339,1,1
CSDE1,ENSG00000009307,1,1
CSNK2A1,ENSG00000101266,1,1
CTCF,ENSG00000102974,1,1
CTNNB1,ENSG00000168036,1,0
CUL3,ENSG00000036257,1,0
DDX3X,ENSG00000215301,1,1
DEAF1,ENSG00000177030,1,1
DHCR7,ENSG00000172893,1,1
DIP2A,ENSG00000160305,1,0
DLG4,ENSG00000132535,1,0
DMPK,ENSG00000104936,1,1
DNMT3A,ENSG00000119772,1,1
DPYSL2,ENSG00000092964,1,0
DSCAM,ENSG00000171587,1,0
DYNC1H1,ENSG00000197102,1,0
DYRK1A,ENSG00000157540,1,1
EBF3,ENSG00000108001,1,1
EHMT1,ENSG00000181090,1,1
EIF3G,ENSG00000130811,1,0
ELAVL3,ENSG00000196361,1,0
EP300,ENSG00000100393,1,1
FMR1,ENSG00000102081,1,1
FOXG1,ENSG00000176165,1,1
FOXP1,ENSG00000114861,1,1
FOXP2,ENSG00000128573,1,0
GABRB2,ENSG00000145864,1,0
GABRB3,ENSG00000166206,1,0
GFAP,ENSG00000131095,1,0
GIGYF1,ENSG00000146830,1,0
GIGYF2,ENSG00000204120,1,0
GNAI1,ENSG00000127955,1,1
GRIA2,ENSG00000120251,1,0
GRIN1,ENSG00000176884,1,0
GRIN2A,ENSG00000183454,1,0
GRIN2B,ENSG00000273079,1,0
HDLBP,ENSG00000115677,1,0
HECTD4,ENSG00000173064,1,0
HIVEP2,ENSG00000010818,1,1
HNRNPH2,ENSG00000126945,1,0
HNRNPU,ENSG00000153187,1,1
HRAS,ENSG00000174775,1,0
IQSEC2,ENSG00000124313,1,1
IRF2BPL,ENSG00000119669,1,1
KANSL1,ENSG00000120071,1,1
KATNAL2,ENSG00000167216,1,0
KCNB1,ENSG00000158445,1,1
KCNQ2,ENSG00000075043,1,0
KCNQ3,ENSG00000184156,1,0
KDM2B,ENSG00000089094,1,0
KDM3B,ENSG00000120733,1,1
KDM5B,ENSG00000117139,1,0
KDM5C,ENSG00000126012,1,0
KDM6B,ENSG00000132510,1,0
KIAA0232,ENSG00000170871,1,0
KLHL20,ENSG00000076321,1,0
KMT2A,ENSG00000118058,1,1
KMT2C,ENSG00000055609,1,1
KMT2E,ENSG00000005483,1,1
KMT5B,ENSG00000110066,1,0
LDB1,ENSG00000198728,1,0
LRRC4C,ENSG00000148948,1,0
LZTR1,ENSG00000099949,1,0
MAGEC3,ENSG00000165509,1,0
MAGEL2,ENSG00000254585,1,1
MAP1A,ENSG00000166963,1,0
MBD5,ENSG00000204406,1,1
MBOAT7,ENSG00000125505,1,1
MECP2,ENSG00000169057,1,1
MED13,ENSG00000108510,1,1
MED13L,ENSG00000123066,1,1
MEF2C,ENSG00000081189,1,1
MEIS2,ENSG00000134138,1,1
MKX,ENSG00000150051,1,0
MSL3,ENSG00000005302,1,1
MTOR,ENSG00000198793,1,1
MYCBP2,ENSG00000005810,1,0
MYT1L,ENSG00000186487,1,0
NAA15,ENSG00000164134,1,1
NACC1,ENSG00000160877,1,1
NBEA,ENSG00000172915,1,1
NCKAP1,ENSG00000061676,1,0
NCOA1,ENSG00000084676,1,0
NEXMIF,ENSG00000050030,1,0
NF1,ENSG00000196712,1,1
NIPBL,ENSG00000164190,1,1
NLGN2,ENSG00000169992,1,0
NLGN3,ENSG00000196338,1,0
NLGN4X,ENSG00000146938,1,0
NR3C2,ENSG00000151623,1,1
NR4A2,ENSG00000153234,1,0
NRXN1,ENSG00000179915,1,0
NRXN2,ENSG00000110076,1,0
NRXN3,ENSG00000021645,1,0
NSD1,ENSG00000165671,1,1
NUP155,ENSG00000113569,1,0
PACS1,ENSG00000175115,1,1
PAH,ENSG00000171759,1,0
PAX5,ENSG00000196092,1,0
PCCB,ENSG00000114054,1,1
PCDH19,ENSG00000165194,1,1
PHF12,ENSG00000109118,1,0
PHF2,ENSG00000197724,1,0
PHF21A,ENSG00000135365,1,1
PHF3,ENSG00000118482,1,0
PHIP,ENSG00000146247,1,1
POGZ,ENSG00000143442,1,1
POMGNT1,ENSG00000085998,1,1
PPP1R9B,ENSG00000108819,1,0
PPP2R5D,ENSG00000112640,1,1
PPP5C,ENSG00000011485,1,0
PRMT9,ENSG00000164169,1,0
PRR12,ENSG00000126464,1,1
PRR14L,ENSG00000183530,1,0
PSMD11,ENSG00000108671,1,0
PSMD12,ENSG00000197170,1,1
PSMD6,ENSG00000163636,1,0
PTCHD1,ENSG00000165186,1,0
PTEN,ENSG00000171862,1,1
PTK7,ENSG00000112655,1,0
PTPN11,ENSG00000179295,1,1
RAI1,ENSG00000108557,1,1
RALGAPB,ENSG00000170471,1,0
RELN,ENSG00000189056,1,0
RERE,ENSG00000142599,1,1
RFX3,ENSG00000080298,1,0
RIMS1,ENSG00000079841,1,0
RNU2-2,ENSG00000222328,1,1
RNU4-2,ENSG00000202538,1,1
RNU5B-1,ENSG00000200156,1,1
RORB,ENSG00000198963,1,1
RUNX1T1,ENSG00000079102,1,0
SATB1,ENSG00000182568,1,1
SATB2,ENSG00000119042,1,1
SCN1A,ENSG00000144285,1,1
SCN2A,ENSG00000136531,1,0
SCN8A,ENSG00000196876,1,0
SETBP1,ENSG00000152217,1,0
SETD1A,ENSG00000099381,1,1
SETD2,ENSG00000181555,1,0
