gene,ensembl_id,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage
ABCE1,ENSG00000164163,1,0,717,59.256198347107436,207,45.29540481400438,685,51.97268588770865
ACTB,ENSG00000075624,1,1,1210,100.0,457,100.0,1318,100.0
ADNP,ENSG00000101126,1,1,1101,90.99173553719008,422,92.34135667396062,1207,91.57814871016691
ADSL,ENSG00000239900,1,1,550,45.45454545454545,189,41.35667396061269,495,37.55690440060698
AFF2,ENSG00000155966,1,0,463,38.264462809917354,281,61.48796498905908,989,75.03793626707132
AHDC1,ENSG00000126705,1,1,130,10.743801652892563,128,28.00875273522976,577,43.77845220030349
ALDH5A1,ENSG00000112294,1,1,134,11.074380165289256,13,2.8446389496717726,170,12.898330804248863
ANK2,ENSG00000145362,1,0,1089,90.0,391,85.55798687089715,1276,96.8133535660091
ANK3,ENSG00000151150,1,0,431,35.6198347107438,381,83.36980306345733,1312,99.54476479514416
ANKRD11,ENSG00000167522,1,1,1088,89.91735537190083,441,96.49890590809628,1253,95.06828528072838
ANP32A,ENSG00000140350,1,0,1112,91.90082644628099,436,95.40481400437636,1294,98.17905918057663
AP2S1,ENSG00000042753,1,0,888,73.38842975206612,323,70.67833698030634,1044,79.21092564491654
ARF3,ENSG00000134287,1,0,463,38.264462809917354,159,34.79212253829321,731,55.462822458270104
ARHGEF9,ENSG00000131089,1,1,720,59.50413223140496,299,65.42669584245077,1017,77.16236722306525
ARID1B,ENSG00000049618,1,1,1116,92.23140495867769,443,96.93654266958424,1279,97.04097116843703
ARX,ENSG00000004848,1,1,980,80.99173553719008,168,36.76148796498906,56,4.24886191198786
ASH1L,ENSG00000116539,1,0,1110,91.73553719008264,429,93.87308533916848,1250,94.84066767830045
ASTN1,ENSG00000152092,1,0,705,58.264462809917354,209,45.733041575492344,905,68.66464339908953
ASXL3,ENSG00000141431,1,1,321,26.52892561983471,251,54.923413566739605,1077,81.71471927162368
ATRX,ENSG00000085224,1,0,1174,97.02479338842976,450,98.46827133479212,1314,99.69650986342944
AUTS2,ENSG00000158321,1,0,1207,99.75206611570248,457,100.0,1318,100.0
BAZ2B,ENSG00000123636,1,0,1176,97.1900826446281,416,91.02844638949672,1113,84.44613050075873
BCKDK,ENSG00000103507,1,0,285,23.553719008264462,57,12.472647702407002,194,14.719271623672231
BCL11A,ENSG00000119866,1,1,1020,84.29752066115702,448,98.03063457330416,1312,99.54476479514416
BRAF,ENSG00000157764,1,1,1082,89.42148760330579,423,92.5601750547046,1238,93.93019726858877
BRSK2,ENSG00000174672,1,1,179,14.793388429752065,226,49.45295404814004,721,54.704097116843705
CACNA1A,ENSG00000141837,1,1,583,48.18181818181818,315,68.92778993435448,1164,88.31562974203338
CACNA1C,ENSG00000151067,1,1,369,30.49586776859504,202,44.201312910284464,838,63.58118361153262
CACNA1E,ENSG00000198216,1,0,196,16.198347107438018,119,26.039387308533918,1031,78.22458270106222
CACNA2D3,ENSG00000157445,1,0,34,2.809917355371901,10,2.1881838074398248,218,16.540212443095598
CAMK2A,ENSG00000070808,1,1,66,5.454545454545454,8,1.75054704595186,103,7.814871016691957
CAMTA2,ENSG00000108509,1,0,128,10.578512396694215,50,10.940919037199125,260,19.726858877086496
CAPRIN1,ENSG00000135387,1,0,1024,84.62809917355372,417,91.2472647702407,1199,90.9711684370258
CASK,ENSG00000147044,1,0,1060,87.60330578512396,418,91.46608315098469,1247,94.61305007587254
CASZ1,ENSG00000130940,1,0,183,15.12396694214876,65,14.223194748358862,75,5.690440060698028
CDKL5,ENSG00000008086,1,1,463,38.264462809917354,217,47.4835886214442,948,71.92716236722306
CELF4,ENSG00000101489,1,0,231,19.09090909090909,314,68.70897155361051,1169,88.69499241274659
CHAMP1,ENSG00000198824,1,1,452,37.35537190082645,136,29.759299781181618,422,32.01820940819423
CHD2,ENSG00000173575,1,1,1099,90.82644628099173,420,91.90371991247265,1168,88.61911987860394
CHD3,ENSG00000170004,1,1,555,45.86776859504132,339,74.17943107221006,1200,91.04704097116844
CHD7,ENSG00000171316,1,1,1051,86.85950413223141,445,97.3741794310722,1066,80.88012139605463
CHD8,ENSG00000100888,1,1,769,63.553719008264466,273,59.73741794310722,915,69.42336874051594
CIC,ENSG00000079432,1,0,305,25.206611570247933,94,20.568927789934353,424,32.16995447647952
CNOT3,ENSG00000088038,1,1,280,23.140495867768596,87,19.037199124726477,249,18.89226100151745
CORO1A,ENSG00000102879,1,0,46,3.8016528925619837,73,15.973741794310722,339,25.720789074355082
CPSF7,ENSG00000149532,1,0,562,46.446280991735534,158,34.57330415754923,522,39.60546282245827
CREBBP,ENSG00000005339,1,1,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166
CSDE1,ENSG00000009307,1,1,1132,93.55371900826447,438,95.84245076586433,1274,96.66160849772382
CSNK2A1,ENSG00000101266,1,1,1079,89.17355371900827,419,91.68490153172867,1208,91.65402124430956
CTCF,ENSG00000102974,1,1,807,66.69421487603306,305,66.73960612691467,937,71.09256449165402
CTNNB1,ENSG00000168036,1,0,1046,86.44628099173553,378,82.71334792122538,1102,83.61153262518968
CUL3,ENSG00000036257,1,0,1116,92.23140495867769,419,91.68490153172867,1185,89.90895295902884
DDX3X,ENSG00000215301,1,1,851,70.3305785123967,316,69.14660831509846,923,70.03034901365706
DEAF1,ENSG00000177030,1,1,614,50.743801652892564,183,40.0437636761488,721,54.704097116843705
DHCR7,ENSG00000172893,1,1,282,23.305785123966942,81,17.72428884026258,351,26.631259484066767
DIP2A,ENSG00000160305,1,0,534,44.13223140495868,215,47.04595185995623,673,51.062215477996965
DLG4,ENSG00000132535,1,0,161,13.305785123966942,110,24.070021881838073,728,55.235204855842184
DMPK,ENSG00000104936,1,1,253,20.90909090909091,60,13.12910284463895,246,18.66464339908953
DNMT3A,ENSG00000119772,1,1,628,51.900826446280995,210,45.951859956236326,703,53.338391502276174
DPYSL2,ENSG00000092964,1,0,1167,96.44628099173553,453,99.12472647702407,1305,99.01365705614568
DSCAM,ENSG00000171587,1,0,137,11.322314049586776,174,38.074398249452955,872,66.16084977238239
DYNC1H1,ENSG00000197102,1,0,1033,85.37190082644628,439,96.06126914660831,1278,96.96509863429439
DYRK1A,ENSG00000157540,1,1,1061,87.68595041322314,384,84.02625820568927,1110,84.2185128983308
EBF3,ENSG00000108001,1,1,8,0.6611570247933884,82,17.943107221006564,96,7.283763277693475
EHMT1,ENSG00000181090,1,1,1036,85.6198347107438,413,90.37199124726477,1159,87.93626707132019
EIF3G,ENSG00000130811,1,0,948,78.34710743801652,332,72.64770240700219,915,69.42336874051594
ELAVL3,ENSG00000196361,1,0,802,66.28099173553719,432,94.52954048140043,1286,97.57207890743551
EP300,ENSG00000100393,1,1,786,64.95867768595042,285,62.36323851203501,872,66.16084977238239
FMR1,ENSG00000102081,1,1,504,41.65289256198347,159,34.79212253829321,597,45.295902883156295
FOXG1,ENSG00000176165,1,1,1190,98.34710743801652,438,95.84245076586433,1297,98.40667678300456
FOXP1,ENSG00000114861,1,1,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492
FOXP2,ENSG00000128573,1,0,598,49.421487603305785,224,49.01531728665208,336,25.493171471927162
GABRB2,ENSG00000145864,1,0,453,37.43801652892562,52,11.37855579868709,508,38.54324734446131
GABRB3,ENSG00000166206,1,0,221,18.264462809917354,276,60.393873085339166,1157,87.78452200303491
GFAP,ENSG00000131095,1,0,55,4.545454545454546,0,0.0,2,0.15174506828528073
GIGYF1,ENSG00000146830,1,0,386,31.90082644628099,138,30.196936542669583,372,28.224582701062214
GIGYF2,ENSG00000204120,1,0,967,79.91735537190083,376,82.27571115973741,1067,80.95599393019727
GNAI1,ENSG00000127955,1,1,393,32.47933884297521,296,64.77024070021882,956,72.5341426403642
GRIA2,ENSG00000120251,1,0,269,22.231404958677686,212,46.38949671772429,1182,89.68133535660091
GRIN1,ENSG00000176884,1,0,0,0.0,4,0.87527352297593,67,5.0834597875569045
GRIN2A,ENSG00000183454,1,0,201,16.611570247933884,2,0.437636761487965,64,4.855842185128983
GRIN2B,ENSG00000273079,1,0,506,41.81818181818182,133,29.102844638949673,656,49.77238239757208
HDLBP,ENSG00000115677,1,0,851,70.3305785123967,249,54.48577680525164,807,61.229135053110774
HECTD4,ENSG00000173064,1,0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701063
HIVEP2,ENSG00000010818,1,1,89,7.355371900826446,16,3.50109409190372,303,22.98937784522003
HNRNPH2,ENSG00000126945,1,0,676,55.86776859504132,229,50.10940919037199,802,60.849772382397575
HNRNPU,ENSG00000153187,1,1,1166,96.36363636363636,446,97.59299781181619,1274,96.66160849772382
HRAS,ENSG00000174775,1,0,378,31.239669421487605,175,38.29321663019694,644,48.861911987860395
IQSEC2,ENSG00000124313,1,1,75,6.198347107438017,9,1.9693654266958425,171,12.974203338391503
IRF2BPL,ENSG00000119669,1,1,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774
KANSL1,ENSG00000120071,1,1,1133,93.63636363636364,435,95.18599562363238,1240,94.08194233687405
KATNAL2,ENSG00000167216,1,0,122,10.082644628099173,21,4.595185995623632,134,10.166919575113809
KCNB1,ENSG00000158445,1,1,232,19.173553719008265,35,7.658643326039387,326,24.734446130500757
KCNQ2,ENSG00000075043,1,0,497,41.074380165289256,332,72.64770240700219,891,67.60242792109257
KCNQ3,ENSG00000184156,1,0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057663
KDM2B,ENSG00000089094,1,0,502,41.48760330578512,158,34.57330415754923,616,46.737481031866466
KDM3B,ENSG00000120733,1,1,755,62.396694214876035,246,53.82932166301969,791,60.01517450682853
KDM5B,ENSG00000117139,1,0,1118,92.39669421487604,450,98.46827133479212,1303,98.8619119878604
