panel,gene,ensembl_id
ASD,KMT2C,ENSG00000055609
ASD,ZNF292,ENSG00000188994
ASD,SETBP1,ENSG00000152217
ASD,FOXP1,ENSG00000114861
ASD,MBD5,ENSG00000204406
ASD,ATRX,ENSG00000085224
ASD,DPYSL2,ENSG00000092964
ASD,HNRNPU,ENSG00000153187
ASD,NCOA1,ENSG00000084676
ASD,NF1,ENSG00000196712
ASD,TBL1XR1,ENSG00000177565
ASD,WAC,ENSG00000095787
ASD,KDM5B,ENSG00000117139
ASD,ANP32A,ENSG00000140350
ASD,NIPBL,ENSG00000164190
ASD,ASH1L,ENSG00000116539
ASD,ANKRD11,ENSG00000167522
ASD,PTEN,ENSG00000171862
ASD,NBEA,ENSG00000172915
ASD,CSNK2A1,ENSG00000101266
ASD,NRXN3,ENSG00000021645
ASD,POGZ,ENSG00000143442
ASD,DYRK1A,ENSG00000157540
ASD,CASK,ENSG00000147044
ASD,MYCBP2,ENSG00000005810
ASD,CTNNB1,ENSG00000168036
ASD,BCL11A,ENSG00000119866
ASD,TAOK1,ENSG00000160551
ASD,KMT5B,ENSG00000110066
ASD,SMARCA4,ENSG00000127616
ASD,ARX,ENSG00000004848
ASD,YY1,ENSG00000100811
ASD,GIGYF2,ENSG00000204120
ASD,KCNQ3,ENSG00000184156
ASD,CREBBP,ENSG00000005339
ASD,SHANK2,ENSG00000162105
ASD,TBCK,ENSG00000145348
ASD,NEXMIF,ENSG00000050030
ASD,NLGN4X,ENSG00000146938
ASD,DDX3X,ENSG00000215301
ASD,HECTD4,ENSG00000173064
ASD,SMARCA1,ENSG00000102038
ASD,ELAVL3,ENSG00000196361
ASD,VEZF1,ENSG00000136451
ASD,UPF3B,ENSG00000125351
ASD,NSD1,ENSG00000165671
ASD,ABCE1,ENSG00000164163
ASD,ASTN1,ENSG00000152092
ASD,DNMT3A,ENSG00000119772
ASD,IRF2BPL,ENSG00000119669
non_ASD,PKM,ENSG00000067225
non_ASD,KAZN,ENSG00000189337
non_ASD,YWHAQ,ENSG00000134308
non_ASD,COX7A2,ENSG00000112695
non_ASD,SNRPE,ENSG00000182004
non_ASD,PARK7,ENSG00000116288
non_ASD,SEC61G,ENSG00000132432
non_ASD,SRP9,ENSG00000143742
non_ASD,SRSF10,ENSG00000188529
non_ASD,SMYD3,ENSG00000185420
non_ASD,ABI2,ENSG00000138443
non_ASD,SRSF4,ENSG00000116350
non_ASD,SNRPG,ENSG00000143977
non_ASD,UQCRQ,ENSG00000164405
non_ASD,LSM7,ENSG00000130332
non_ASD,BRK1,ENSG00000254999
non_ASD,CAMLG,ENSG00000164615
non_ASD,BBX,ENSG00000114439
non_ASD,DDX24,ENSG00000089737
non_ASD,ANKHD1,ENSG00000131503
non_ASD,RBBP4,ENSG00000162521
non_ASD,COX8A,ENSG00000176340
non_ASD,TCF7L1,ENSG00000152284
non_ASD,PTN,ENSG00000105894
non_ASD,VEZT,ENSG00000028203
non_ASD,PHACTR4,ENSG00000204138
non_ASD,RAB7A,ENSG00000075785
non_ASD,RAB1A,ENSG00000138069
non_ASD,LARS1,ENSG00000133706
non_ASD,CAPZB,ENSG00000077549
non_ASD,MTF2,ENSG00000143033
non_ASD,ASB3,ENSG00000115239
non_ASD,DGUOK,ENSG00000114956
non_ASD,PFN2,ENSG00000070087
non_ASD,ZCCHC17,ENSG00000121766
non_ASD,ZNF721,ENSG00000182903
non_ASD,ETNK1,ENSG00000139163
non_ASD,PPP4R2,ENSG00000163605
non_ASD,YAF2,ENSG00000015153
non_ASD,MARCHF1,ENSG00000145416
non_ASD,PDGFC,ENSG00000145431
non_ASD,MIER1,ENSG00000198160
non_ASD,NIFK,ENSG00000155438
non_ASD,KLHL24,ENSG00000114796
non_ASD,USP1,ENSG00000162607
non_ASD,MAP3K2,ENSG00000169967
non_ASD,UBE4B,ENSG00000130939
non_ASD,DMRTA2,ENSG00000142700
non_ASD,ATF6,ENSG00000118217
non_ASD,KIAA0319L,ENSG00000142687
