gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage,detection_difference,matched_ASD_gene,matched_ASD_detection_percentage
PKM,ENSG00000067225,1196,98.84297520661156,427,93.43544857768052,1184,89.83308042488619,0.0,KMT2C,98.84297520661156
KAZN,ENSG00000189337,1194,98.67768595041322,396,86.65207877461707,1260,95.59939301972686,0.0,ZNF292,98.67768595041322
YWHAQ,ENSG00000134308,1192,98.51239669421489,455,99.56236323851203,1316,99.84825493171472,0.0,SETBP1,98.51239669421489
COX7A2,ENSG00000112695,1189,98.26446280991736,456,99.78118161925602,1316,99.84825493171472,0.0,FOXP1,98.26446280991736
SNRPE,ENSG00000182004,1182,97.68595041322314,444,97.15536105032822,1275,96.73748103186648,0.0,MBD5,97.68595041322314
PARK7,ENSG00000116288,1174,97.02479338842976,446,97.5929978118162,1279,97.04097116843704,0.0,ATRX,97.02479338842976
SEC61G,ENSG00000132432,1167,96.44628099173552,446,97.5929978118162,1285,97.49620637329286,0.0,DPYSL2,96.44628099173552
SRP9,ENSG00000143742,1166,96.36363636363636,440,96.2800875273523,1292,98.02731411229136,0.0,HNRNPU,96.36363636363636
SRSF10,ENSG00000188529,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275,0.0,NCOA1,95.9504132231405
SMYD3,ENSG00000185420,1157,95.6198347107438,423,92.5601750547046,1274,96.66160849772383,0.0,NF1,95.6198347107438
ABI2,ENSG00000138443,1134,93.7190082644628,400,87.527352297593,1227,93.09559939301973,0.0,TBL1XR1,93.7190082644628
SRSF4,ENSG00000116350,1126,93.05785123966942,406,88.8402625820569,1155,87.63277693474963,0.0,WAC,93.05785123966942
SNRPG,ENSG00000143977,1118,92.39669421487604,401,87.74617067833698,1157,87.78452200303491,0.0,KDM5B,92.39669421487604
UQCRQ,ENSG00000164405,1113,91.98347107438016,431,94.31072210065643,1274,96.66160849772383,0.0826446280991604,ANP32A,91.900826446281
LSM7,ENSG00000130332,1111,91.81818181818184,420,91.90371991247264,1184,89.83308042488619,4.263256414560601e-14,NIPBL,91.8181818181818
BRK1,ENSG00000254999,1109,91.65289256198346,423,92.5601750547046,1238,93.93019726858876,0.08264462809917461,ASH1L,91.73553719008264
CAMLG,ENSG00000164615,1088,89.91735537190083,392,85.77680525164114,1159,87.93626707132019,0.0,ANKRD11,89.91735537190083
BBX,ENSG00000114439,1087,89.83471074380165,413,90.37199124726476,926,70.25796661608497,0.0,PTEN,89.83471074380165
DDX24,ENSG00000089737,1082,89.42148760330578,436,95.40481400437638,1281,97.1927162367223,1.4210854715202004e-14,NBEA,89.42148760330579
ANKHD1,ENSG00000131503,1079,89.17355371900827,370,80.96280087527352,976,74.05159332321699,0.0,CSNK2A1,89.17355371900827
RBBP4,ENSG00000162521,1080,89.25619834710744,402,87.96498905908096,1177,89.3019726858877,0.08264462809917461,NRXN3,89.17355371900827
COX8A,ENSG00000176340,1075,88.84297520661157,404,88.40262582056893,1230,93.32321699544764,0.0,POGZ,88.84297520661157
TCF7L1,ENSG00000152284,1061,87.68595041322314,126,27.571115973741797,132,10.015174506828528,0.0,DYRK1A,87.68595041322314
PTN,ENSG00000105894,1060,87.60330578512396,203,44.42013129102845,475,36.03945371775417,0.0,CASK,87.60330578512396
VEZT,ENSG00000028203,1051,86.85950413223141,434,94.9671772428884,1262,95.75113808801214,0.0,MYCBP2,86.85950413223141
PHACTR4,ENSG00000204138,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282,0.0,CTNNB1,86.44628099173553
RAB7A,ENSG00000075785,1020,84.29752066115702,376,82.27571115973743,1127,85.5083459787557,0.0,BCL11A,84.29752066115702
RAB1A,ENSG00000138069,1012,83.63636363636363,393,85.99562363238512,1176,89.22610015174507,1.4210854715202004e-14,TAOK1,83.63636363636364
LARS1,ENSG00000133706,1003,82.89256198347107,311,68.05251641137856,993,75.34142640364189,0.0,KMT5B,82.89256198347107
CAPZB,ENSG00000077549,997,82.39669421487604,367,80.30634573304157,1123,85.20485584218514,0.0,SMARCA4,82.39669421487604
MTF2,ENSG00000143033,980,80.99173553719008,400,87.527352297593,1190,90.28831562974204,0.0,ARX,80.99173553719008
ASB3,ENSG00000115239,979,80.9090909090909,333,72.86652078774617,1058,80.2731411229135,0.0,YY1,80.9090909090909
DGUOK,ENSG00000114956,967,79.91735537190083,355,77.68052516411379,1091,82.77693474962064,0.0,GIGYF2,79.91735537190083
PFN2,ENSG00000070087,959,79.25619834710744,333,72.86652078774617,954,72.3823975720789,0.0,KCNQ3,79.25619834710744
ZCCHC17,ENSG00000121766,956,79.00826446280992,277,60.61269146608315,1016,77.08649468892261,0.08264462809917461,CREBBP,78.92561983471074
ZNF721,ENSG00000182903,931,76.94214876033058,310,67.83369803063457,941,71.39605462822458,0.0,SHANK2,76.94214876033058
ETNK1,ENSG00000139163,902,74.54545454545455,308,67.39606126914661,952,72.23065250379362,0.0,TBCK,74.54545454545455
PPP4R2,ENSG00000163605,879,72.64462809917356,321,70.24070021881839,921,69.87860394537178,0.0,NEXMIF,72.64462809917356
YAF2,ENSG00000015153,871,71.98347107438016,328,71.77242888402627,913,69.27162367223065,0.0,NLGN4X,71.98347107438016
MARCHF1,ENSG00000145416,851,70.33057851239668,370,80.96280087527352,1165,88.39150227617603,1.4210854715202004e-14,DDX3X,70.3305785123967
PDGFC,ENSG00000145431,836,69.0909090909091,163,35.667396061269145,1059,80.34901365705615,0.0,HECTD4,69.0909090909091
MIER1,ENSG00000198160,811,67.02479338842974,223,48.796498905908095,768,58.2701062215478,1.4210854715202004e-14,SMARCA1,67.02479338842976
NIFK,ENSG00000155438,802,66.28099173553719,246,53.82932166301969,773,58.649468892261005,0.0,ELAVL3,66.28099173553719
KLHL24,ENSG00000114796,757,62.56198347107438,400,87.527352297593,1164,88.31562974203338,0.0,VEZF1,62.56198347107438
USP1,ENSG00000162607,748,61.81818181818181,222,48.57768052516411,615,46.66160849772382,7.105427357601002e-15,UPF3B,61.81818181818182
MAP3K2,ENSG00000169967,741,61.239669421487605,271,59.29978118161926,883,66.99544764795145,0.0,NSD1,61.239669421487605
UBE4B,ENSG00000130939,717,59.25619834710744,285,62.36323851203501,870,66.00910470409713,0.0,ABCE1,59.25619834710744
DMRTA2,ENSG00000142700,705,58.26446280991735,253,55.36105032822757,294,22.306525037936268,1.4210854715202004e-14,ASTN1,58.26446280991736
ATF6,ENSG00000118217,628,51.90082644628099,231,50.54704595185996,691,52.42792109256449,1.4210854715202004e-14,DNMT3A,51.900826446281
KIAA0319L,ENSG00000142687,617,50.99173553719009,202,44.201312910284464,627,47.57207890743551,7.105427357601002e-15,IRF2BPL,50.99173553719008
