gene,ensembl_id,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_detected_cells,CTRL_Young_detection_percentage
HES4,ENSG00000188290,1086,89.75206611570248,284,62.144420131291035,982,74.50682852807283
AURKAIP1,ENSG00000175756,856,70.74380165289256,299,65.42669584245077,973,73.82397572078906
MRPL20,ENSG00000242485,926,76.52892561983471,327,71.55361050328227,1004,76.17602427921094
SSU72,ENSG00000160075,833,68.84297520661157,285,62.36323851203501,931,70.63732928679818
GNB1,ENSG00000078369,1144,94.54545454545455,451,98.6870897155361,1294,98.17905918057663
FAAP20,ENSG00000162585,708,58.51239669421487,242,52.95404814004377,775,58.801213960546285
PRDM16,ENSG00000142611,867,71.65289256198348,78,17.067833698030636,79,5.993930197268589
RPL22,ENSG00000116251,1210,100.0,457,100.0,1318,100.0
CAMTA1,ENSG00000171735,1176,97.19008264462809,440,96.2800875273523,1284,97.42033383915023
PARK7,ENSG00000116288,1174,97.02479338842976,446,97.59299781181619,1279,97.04097116843703
ENO1,ENSG00000074800,1208,99.83471074380165,446,97.59299781181619,1267,96.13050075872535
CLSTN1,ENSG00000171603,713,58.925619834710744,283,61.925601750547045,823,62.44309559939302
LZIC,ENSG00000162441,719,59.42148760330579,286,62.58205689277899,904,68.5887708649469
UBE4B,ENSG00000130939,717,59.256198347107436,285,62.36323851203501,870,66.00910470409713
KIF1B,ENSG00000054523,1200,99.17355371900827,452,98.90590809628009,1309,99.31714719271623
PGD,ENSG00000142657,679,56.11570247933885,221,48.35886214442014,767,58.19423368740516
TARDBP,ENSG00000120948,663,54.79338842975206,244,53.39168490153173,707,53.64188163884673
SRM,ENSG00000116649,644,53.223140495867774,233,50.984682713347915,808,61.305007587253414
VPS13D,ENSG00000048707,669,55.289256198347104,224,49.01531728665208,821,62.29135053110774
PRDM2,ENSG00000116731,841,69.50413223140495,350,76.58643326039387,1089,82.62518968133536
KAZN,ENSG00000189337,1194,98.67768595041322,396,86.65207877461707,1260,95.59939301972686
FBXO42,ENSG00000037637,642,53.05785123966942,247,54.04814004376368,754,57.207890743550834
CROCC,ENSG00000058453,729,60.247933884297524,312,68.27133479212254,888,67.37481031866464
MFAP2,ENSG00000117122,677,55.950413223140494,197,43.10722100656455,217,16.46433990895296
SDHB,ENSG00000117118,731,60.413223140495866,198,43.32603938730853,717,54.40060698027314
RCC2,ENSG00000179051,646,53.388429752066116,235,51.42231947483589,547,41.502276176024274
MRTO4,ENSG00000053372,620,51.2396694214876,149,32.60393873085339,482,36.57056145675266
AKR7A2,ENSG00000053371,659,54.46280991735537,186,40.70021881838075,555,42.1092564491654
CAPZB,ENSG00000077549,997,82.39669421487604,367,80.30634573304157,1123,85.20485584218514
MICOS10,ENSG00000173436,843,69.66942148760332,293,64.11378555798687,949,72.00303490136571
CAMK2N1,ENSG00000162545,946,78.18181818181819,389,85.12035010940919,1276,96.81335356600911
DDOST,ENSG00000244038,734,60.66115702479339,232,50.76586433260394,602,45.6752655538695
HP1BP3,ENSG00000127483,1106,91.40495867768595,432,94.52954048140045,1219,92.4886191198786
EIF4G3,ENSG00000075151,1201,99.25619834710744,452,98.90590809628009,1310,99.39301972685888
USP48,ENSG00000090686,722,59.6694214876033,226,49.45295404814004,865,65.62974203338392
CDC42,ENSG00000070831,1101,90.99173553719008,422,92.34135667396062,1277,96.88922610015175
ID3,ENSG00000117318,831,68.67768595041322,75,16.411378555798688,117,8.877086494688923
RPL11,ENSG00000142676,1210,100.0,457,100.0,1318,100.0
PNRC2,ENSG00000189266,746,61.65289256198348,217,47.4835886214442,572,43.39908952959029
SRSF10,ENSG00000188529,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275
SRRM1,ENSG00000133226,1159,95.78512396694215,423,92.5601750547046,1223,92.79210925644917
