gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
NRXN3,ENSG00000021645,ASD,1.0,0.0,1079,89.17355371900827,268,58.64332603938731,542,41.12291350531108,0.0001797080039978,towards_VPA
NEXMIF,ENSG00000050030,ASD,1.0,0.0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566,0.0001014838827417,towards_VPA
SHANK2,ENSG00000162105,ASD,1.0,0.0,931,76.94214876033058,349,76.36761487964989,1110,84.2185128983308,8.383263712343962e-05,towards_VPA
SETBP1,ENSG00000152217,ASD,1.0,0.0,1192,98.51239669421489,456,99.78118161925602,1307,99.16540212443095,7.26810647445975e-05,towards_VPA
KCNQ3,ENSG00000184156,ASD,1.0,0.0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057664,6.164814911636652e-05,towards_VPA
PDGFC,ENSG00000145431,non_ASD,,,836,69.0909090909091,163,35.667396061269145,1059,80.34901365705615,5.956490834554037e-05,towards_VPA
TCF7L1,ENSG00000152284,non_ASD,,,1061,87.68595041322314,126,27.5711159737418,132,10.015174506828528,4.181021549662606e-05,towards_VPA
KIAA0319L,ENSG00000142687,non_ASD,,,617,50.99173553719009,202,44.201312910284464,627,47.57207890743551,3.363743220290093e-05,towards_VPA
VEZF1,ENSG00000136451,ASD,1.0,0.0,757,62.56198347107438,297,64.9890590809628,749,56.82852807283764,2.9238370748666617e-05,towards_VPA
KLHL24,ENSG00000114796,non_ASD,,,757,62.56198347107438,400,87.527352297593,1164,88.31562974203338,2.8458647072886505e-05,towards_VPA
USP1,ENSG00000162607,non_ASD,,,748,61.81818181818181,222,48.57768052516411,615,46.66160849772382,2.6943459027055383e-05,towards_VPA
CTNNB1,ENSG00000168036,ASD,1.0,0.0,1046,86.44628099173553,378,82.71334792122538,1102,83.61153262518968,2.5528133230865315e-05,towards_VPA
HECTD4,ENSG00000173064,ASD,1.0,0.0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701064,2.4473282598680064e-05,towards_VPA
KMT2C,ENSG00000055609,ASD,1.0,1.0,1196,98.84297520661156,454,99.34354485776804,1292,98.02731411229136,2.3018587664299204e-05,towards_VPA
VEZT,ENSG00000028203,non_ASD,,,1051,86.85950413223141,434,94.9671772428884,1262,95.75113808801214,1.3426248578057774e-05,towards_VPA
CASK,ENSG00000147044,ASD,1.0,0.0,1060,87.60330578512396,418,91.46608315098467,1247,94.61305007587254,1.26728399552126e-05,towards_VPA
GIGYF2,ENSG00000204120,ASD,1.0,0.0,967,79.91735537190083,376,82.27571115973741,1067,80.95599393019727,9.062911282066538e-06,towards_VPA
SRSF4,ENSG00000116350,non_ASD,,,1126,93.05785123966942,406,88.8402625820569,1155,87.63277693474963,8.784562536755448e-06,towards_VPA
POGZ,ENSG00000143442,ASD,1.0,1.0,1075,88.84297520661157,399,87.30853391684902,1185,89.90895295902884,8.405396764762556e-06,towards_VPA
ELAVL3,ENSG00000196361,ASD,1.0,0.0,802,66.28099173553719,432,94.52954048140045,1286,97.57207890743553,8.173220980483874e-06,towards_VPA
MIER1,ENSG00000198160,non_ASD,,,811,67.02479338842974,223,48.796498905908095,768,58.2701062215478,7.683343260827725e-06,towards_VPA
HNRNPU,ENSG00000153187,ASD,1.0,1.0,1166,96.36363636363636,446,97.5929978118162,1274,96.66160849772382,7.128053241305881e-06,towards_VPA
KDM5B,ENSG00000117139,ASD,1.0,0.0,1118,92.39669421487604,450,98.46827133479212,1303,98.8619119878604,6.704504896954792e-06,towards_VPA
ANKHD1,ENSG00000131503,non_ASD,,,1079,89.17355371900827,370,80.96280087527352,976,74.05159332321699,4.5938534779591605e-06,towards_VPA
DYRK1A,ENSG00000157540,ASD,1.0,1.0,1061,87.68595041322314,384,84.02625820568927,1110,84.2185128983308,2.0091126604778013e-06,towards_VPA
KMT5B,ENSG00000110066,ASD,1.0,0.0,1003,82.89256198347107,395,86.43326039387308,1174,89.07435508345979,-2.426694529925206e-06,away_from_VPA
WAC,ENSG00000095787,ASD,1.0,1.0,1126,93.05785123966942,430,94.09190371991248,1194,90.5918057663126,-3.545584079034314e-06,away_from_VPA
ANP32A,ENSG00000140350,ASD,1.0,0.0,1112,91.900826446281,436,95.40481400437636,1294,98.17905918057664,-5.3322478516461095e-06,away_from_VPA
RBBP4,ENSG00000162521,non_ASD,,,1080,89.25619834710744,402,87.96498905908096,1177,89.3019726858877,-5.450835119944946e-06,away_from_VPA
RAB7A,ENSG00000075785,non_ASD,,,1020,84.29752066115702,376,82.27571115973743,1127,85.5083459787557,-6.038310198948301e-06,away_from_VPA
ABI2,ENSG00000138443,non_ASD,,,1134,93.7190082644628,400,87.527352297593,1227,93.09559939301973,-6.092919243706598e-06,away_from_VPA
BCL11A,ENSG00000119866,ASD,1.0,1.0,1020,84.29752066115702,448,98.03063457330416,1312,99.54476479514416,-9.3818759638543e-06,away_from_VPA
MAP3K2,ENSG00000169967,non_ASD,,,741,61.239669421487605,271,59.29978118161926,883,66.99544764795145,-9.941265863530776e-06,away_from_VPA
SMYD3,ENSG00000185420,non_ASD,,,1157,95.6198347107438,423,92.5601750547046,1274,96.66160849772383,-1.0465290032181086e-05,away_from_VPA
ZNF292,ENSG00000188994,ASD,1.0,1.0,1194,98.67768595041322,457,100.0,1313,99.6206373292868,-1.0649635367197534e-05,away_from_VPA
CSNK2A1,ENSG00000101266,ASD,1.0,1.0,1079,89.17355371900827,419,91.68490153172868,1208,91.65402124430956,-1.4401229358466604e-05,away_from_VPA
NBEA,ENSG00000172915,ASD,1.0,1.0,1082,89.42148760330579,436,95.40481400437636,1311,99.46889226100151,-1.7404556274414062e-05,away_from_VPA
YAF2,ENSG00000015153,non_ASD,,,871,71.98347107438016,328,71.77242888402627,913,69.27162367223065,-1.7526438417990647e-05,away_from_VPA
MYCBP2,ENSG00000005810,ASD,1.0,0.0,1051,86.85950413223141,393,85.99562363238512,1215,92.18512898330803,-1.7725686144723765e-05,away_from_VPA
NIFK,ENSG00000155438,non_ASD,,,802,66.28099173553719,246,53.82932166301969,773,58.649468892261005,-1.8250031076419124e-05,away_from_VPA
MBD5,ENSG00000204406,ASD,1.0,1.0,1182,97.68595041322314,453,99.12472647702408,1296,98.33080424886192,-1.9548677959325123e-05,away_from_VPA
NLGN4X,ENSG00000146938,ASD,1.0,0.0,871,71.98347107438016,279,61.05032822757112,835,63.3535660091047,-2.093985676765442e-05,away_from_VPA
NF1,ENSG00000196712,ASD,1.0,1.0,1157,95.6198347107438,439,96.06126914660832,1279,97.04097116843704,-2.108273967619865e-05,away_from_VPA
ASB3,ENSG00000115239,non_ASD,,,979,80.9090909090909,333,72.86652078774617,1058,80.2731411229135,-2.198378870806356e-05,away_from_VPA
ATRX,ENSG00000085224,ASD,1.0,0.0,1174,97.02479338842976,450,98.46827133479212,1314,99.69650986342944,-2.302903958293788e-05,away_from_VPA
NCOA1,ENSG00000084676,ASD,1.0,0.0,1161,95.9504132231405,446,97.5929978118162,1263,95.82701062215476,-2.369799288401163e-05,away_from_VPA
PTEN,ENSG00000171862,ASD,1.0,1.0,1087,89.83471074380165,384,84.02625820568927,1125,85.3566009104704,-2.714427131595033e-05,away_from_VPA
NIPBL,ENSG00000164190,ASD,1.0,1.0,1111,91.8181818181818,426,93.21663019693656,1228,93.17147192716236,-3.119017750310441e-05,away_from_VPA
ASH1L,ENSG00000116539,ASD,1.0,0.0,1110,91.73553719008264,429,93.87308533916848,1250,94.84066767830043,-3.1401713689168297e-05,away_from_VPA
ANKRD11,ENSG00000167522,ASD,1.0,1.0,1088,89.91735537190083,441,96.49890590809628,1253,95.06828528072838,-3.270463480782316e-05,away_from_VPA
MARCHF1,ENSG00000145416,non_ASD,,,851,70.33057851239668,370,80.96280087527352,1165,88.39150227617603,-3.309885080713425e-05,away_from_VPA
TBCK,ENSG00000145348,ASD,1.0,1.0,902,74.54545454545455,352,77.02407002188184,1020,77.38998482549317,-3.4281628669341864e-05,away_from_VPA
ZNF721,ENSG00000182903,non_ASD,,,931,76.94214876033058,310,67.83369803063457,941,71.39605462822458,-3.517653260912214e-05,away_from_VPA
PPP4R2,ENSG00000163605,non_ASD,,,879,72.64462809917356,321,70.24070021881839,921,69.87860394537178,-3.643873997650813e-05,away_from_VPA
YY1,ENSG00000100811,ASD,1.0,1.0,979,80.9090909090909,361,78.99343544857769,1102,83.61153262518968,-3.652964065324015e-05,away_from_VPA
DDX3X,ENSG00000215301,ASD,1.0,1.0,851,70.3305785123967,316,69.14660831509846,923,70.03034901365706,-3.722779036778484e-05,away_from_VPA
DNMT3A,ENSG00000119772,ASD,1.0,1.0,628,51.900826446281,210,45.951859956236326,703,53.338391502276174,-3.749253798504265e-05,away_from_VPA
PHACTR4,ENSG00000204138,non_ASD,,,1046,86.44628099173553,416,91.02844638949672,1160,88.01213960546282,-3.850768352377004e-05,away_from_VPA
FOXP1,ENSG00000114861,ASD,1.0,1.0,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492,-3.852995719698912e-05,away_from_VPA
TBL1XR1,ENSG00000177565,ASD,1.0,0.0,1134,93.7190082644628,422,92.34135667396062,1210,91.80576631259484,-3.960577409658859e-05,away_from_VPA
RAB1A,ENSG00000138069,non_ASD,,,1012,83.63636363636363,393,85.99562363238512,1176,89.22610015174507,-3.96552478968029e-05,away_from_VPA
PTN,ENSG00000105894,non_ASD,,,1060,87.60330578512396,203,44.42013129102845,475,36.03945371775417,-4.002253214518229e-05,away_from_VPA
SRSF10,ENSG00000188529,non_ASD,,,1161,95.9504132231405,434,94.9671772428884,1213,92.03338391502275,-4.183312309006176e-05,away_from_VPA
