gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
NRXN3,ENSG00000021645,ASD,1.0,0.0,1079,89.17355371900827,268,58.64332603938731,542,41.12291350531108,0.0001797080039978,towards_VPA
NEXMIF,ENSG00000050030,ASD,1.0,0.0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566,0.0001014838827417,towards_VPA
SHANK2,ENSG00000162105,ASD,1.0,0.0,931,76.94214876033058,349,76.36761487964989,1110,84.2185128983308,8.383263712343962e-05,towards_VPA
SETBP1,ENSG00000152217,ASD,1.0,0.0,1192,98.51239669421489,456,99.78118161925602,1307,99.16540212443095,7.26810647445975e-05,towards_VPA
KCNQ3,ENSG00000184156,ASD,1.0,0.0,959,79.25619834710744,440,96.2800875273523,1294,98.17905918057664,6.164814911636652e-05,towards_VPA
VEZF1,ENSG00000136451,ASD,1.0,0.0,757,62.56198347107438,297,64.9890590809628,749,56.82852807283764,2.9238370748666617e-05,towards_VPA
CTNNB1,ENSG00000168036,ASD,1.0,0.0,1046,86.44628099173553,378,82.71334792122538,1102,83.61153262518968,2.5528133230865315e-05,towards_VPA
HECTD4,ENSG00000173064,ASD,1.0,0.0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701064,2.4473282598680064e-05,towards_VPA
KMT2C,ENSG00000055609,ASD,1.0,1.0,1196,98.84297520661156,454,99.34354485776804,1292,98.02731411229136,2.3018587664299204e-05,towards_VPA
CASK,ENSG00000147044,ASD,1.0,0.0,1060,87.60330578512396,418,91.46608315098467,1247,94.61305007587254,1.26728399552126e-05,towards_VPA
ASTN1,ENSG00000152092,ASD,1.0,0.0,705,58.26446280991736,209,45.73304157549234,905,68.66464339908953,-0.0002955868840217,away_from_VPA
ARX,ENSG00000004848,ASD,1.0,1.0,980,80.99173553719008,168,36.76148796498906,56,4.24886191198786,-0.0001838353215431,away_from_VPA
NSD1,ENSG00000165671,ASD,1.0,1.0,741,61.239669421487605,263,57.5492341356674,837,63.50531107738998,-0.0001287503208187,away_from_VPA
SMARCA1,ENSG00000102038,ASD,1.0,0.0,811,67.02479338842976,223,48.796498905908095,605,45.90288315629742,-0.0001147731145222,away_from_VPA
ABCE1,ENSG00000164163,ASD,1.0,0.0,717,59.25619834710744,207,45.29540481400438,685,51.97268588770865,-0.000104217727979,away_from_VPA
DPYSL2,ENSG00000092964,ASD,1.0,0.0,1167,96.44628099173552,453,99.12472647702408,1305,99.01365705614568,-6.147758606223949e-05,away_from_VPA
TAOK1,ENSG00000160551,ASD,1.0,1.0,1012,83.63636363636364,411,89.93435448577681,1206,91.50227617602428,-5.854620282345406e-05,away_from_VPA
UPF3B,ENSG00000125351,ASD,1.0,1.0,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913,-5.190228132923623e-05,away_from_VPA
CREBBP,ENSG00000005339,ASD,1.0,1.0,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166,-5.184813133348221e-05,away_from_VPA
IRF2BPL,ENSG00000119669,ASD,1.0,1.0,617,50.99173553719008,165,36.10503282275711,821,62.29135053110774,-4.793054018265162e-05,away_from_VPA
