gene,ensembl_id,panel,sfari_score,syndromic,CTRL_RG_detected_cells,CTRL_RG_detection_percentage,CTRL_IPC_detected_cells,CTRL_IPC_detection_percentage,CTRL_Young_dExN_detected_cells,CTRL_Young_dExN_detection_percentage,Shift_to_goal_end,direction
HECTD4,ENSG00000173064,ASD,1.0,0.0,836,69.0909090909091,404,88.40262582056893,1269,96.28224582701064,0.0001748032765845,towards_VPA
NBEA,ENSG00000172915,ASD,1.0,1.0,1082,89.42148760330579,436,95.40481400437636,1311,99.46889226100151,0.0001173355640509,towards_VPA
ASTN1,ENSG00000152092,ASD,1.0,0.0,705,58.26446280991736,209,45.73304157549234,905,68.66464339908953,0.0001103894130603,towards_VPA
NLGN4X,ENSG00000146938,ASD,1.0,0.0,871,71.98347107438016,279,61.05032822757112,835,63.3535660091047,0.0001086925989703,towards_VPA
SHANK2,ENSG00000162105,ASD,1.0,0.0,931,76.94214876033058,349,76.36761487964989,1110,84.2185128983308,8.007435672051084e-05,towards_VPA
SETBP1,ENSG00000152217,ASD,1.0,0.0,1192,98.51239669421489,456,99.78118161925602,1307,99.16540212443095,4.699812314220678e-05,towards_VPA
CREBBP,ENSG00000005339,ASD,1.0,1.0,955,78.92561983471074,368,80.52516411378556,1027,77.92109256449166,4.216896860223068e-05,towards_VPA
DYRK1A,ENSG00000157540,ASD,1.0,1.0,1061,87.68595041322314,384,84.02625820568927,1110,84.2185128983308,3.277338468111478e-05,towards_VPA
TBCK,ENSG00000145348,ASD,1.0,1.0,902,74.54545454545455,352,77.02407002188184,1020,77.38998482549317,3.0204733425283177e-05,towards_VPA
DNMT3A,ENSG00000119772,ASD,1.0,1.0,628,51.900826446281,210,45.951859956236326,703,53.338391502276174,2.7944015551217e-05,towards_VPA
NRXN3,ENSG00000021645,ASD,1.0,0.0,1079,89.17355371900827,268,58.64332603938731,542,41.12291350531108,-0.000239605950837,away_from_VPA
ELAVL3,ENSG00000196361,ASD,1.0,0.0,802,66.28099173553719,432,94.52954048140045,1286,97.57207890743553,-0.0001557090065696,away_from_VPA
BCL11A,ENSG00000119866,ASD,1.0,1.0,1020,84.29752066115702,448,98.03063457330416,1312,99.54476479514416,-0.0001158430599249,away_from_VPA
FOXP1,ENSG00000114861,ASD,1.0,1.0,1189,98.26446280991736,339,74.17943107221006,979,74.27921092564492,-9.34378499725542e-05,away_from_VPA
ATRX,ENSG00000085224,ASD,1.0,0.0,1174,97.02479338842976,450,98.46827133479212,1314,99.69650986342944,-5.404297695603482e-05,away_from_VPA
UPF3B,ENSG00000125351,ASD,1.0,1.0,748,61.81818181818182,300,65.64551422319475,920,69.80273141122913,-4.9806685529203496e-05,away_from_VPA
SMARCA4,ENSG00000127616,ASD,1.0,0.0,997,82.39669421487604,418,91.46608315098467,1252,94.99241274658574,-4.655589877998568e-05,away_from_VPA
DPYSL2,ENSG00000092964,ASD,1.0,0.0,1167,96.44628099173552,453,99.12472647702408,1305,99.01365705614568,-4.576894895385212e-05,away_from_VPA
NEXMIF,ENSG00000050030,ASD,1.0,0.0,879,72.64462809917356,246,53.82932166301969,824,62.51896813353566,-4.289260617008916e-05,away_from_VPA
PTEN,ENSG00000171862,ASD,1.0,1.0,1087,89.83471074380165,384,84.02625820568927,1125,85.3566009104704,-3.649932997567313e-05,away_from_VPA
