gene,panel,syndromic,RG_shift,IPC_shift,direction_pattern,absolute_difference,hpo_annotated,seizures,ID_DD,ADHD,sleep,speech_language_delay,motor_delay,anxiety,depression,aggressive_behaviour
KMT2C,ASD,1.0,-1.3203913224611248e-05,2.3018587664299204e-05,opposite_direction,3.622250088891045e-05,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ZNF292,ASD,1.0,-3.274379692641385e-06,-1.0649635367197534e-05,consistent_away,7.375255674556147e-06,True,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SETBP1,ASD,0.0,4.699812314220678e-05,7.26810647445975e-05,consistent_towards,2.568294160239073e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
FOXP1,ASD,1.0,-9.34378499725542e-05,-3.852995719698912e-05,consistent_away,5.4907892775565086e-05,True,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
MBD5,ASD,1.0,2.7094426015430915e-05,-1.9548677959325123e-05,opposite_direction,4.664310397475604e-05,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
ATRX,ASD,0.0,-5.404297695603482e-05,-2.302903958293788e-05,consistent_away,3.101393737309694e-05,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
DPYSL2,ASD,0.0,-4.576894895385212e-05,-6.147758606223949e-05,consistent_away,1.5708637108387368e-05,False,,,,,,,,,
HNRNPU,ASD,1.0,-1.1766734330550484e-05,7.128053241305881e-06,opposite_direction,1.889478757185637e-05,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NCOA1,ASD,0.0,-2.465645472208659e-06,-2.369799288401163e-05,consistent_away,2.123234741180297e-05,False,,,,,,,,,
NF1,ASD,1.0,2.1613097879204536e-05,-2.108273967619865e-05,opposite_direction,4.269583755540319e-05,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
TBL1XR1,ASD,0.0,-1.67634543471449e-05,-3.960577409658859e-05,consistent_away,2.284231974944369e-05,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WAC,ASD,1.0,-8.890795153240824e-07,-3.545584079034314e-06,consistent_away,2.656504563710232e-06,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
KDM5B,ASD,0.0,-1.9014319952796488e-06,6.704504896954792e-06,opposite_direction,8.60593689223444e-06,True,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
ANP32A,ASD,0.0,-3.058084641224386e-05,-5.3322478516461095e-06,consistent_away,2.5248598560597747e-05,False,,,,,,,,,
NIPBL,ASD,1.0,5.842005456244195e-06,-3.119017750310441e-05,opposite_direction,3.7032182959348606e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ASH1L,ASD,0.0,2.163915766814761e-05,-3.1401713689168297e-05,opposite_direction,5.304087135731591e-05,True,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
ANKRD11,ASD,1.0,-1.352373758951823e-05,-3.270463480782316e-05,consistent_away,1.918089721830493e-05,True,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
PTEN,ASD,1.0,-3.649932997567313e-05,-2.714427131595033e-05,consistent_away,9.355058659722802e-06,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
NBEA,ASD,1.0,0.0001173355640509,-1.7404556274414062e-05,opposite_direction,0.0001347401203253,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
CSNK2A1,ASD,1.0,3.1891759935316148e-06,-1.4401229358466604e-05,opposite_direction,1.759040535199822e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
NRXN3,ASD,0.0,-0.000239605950837,0.0001797080039978,opposite_direction,0.0004193139548348,False,,,,,,,,,
POGZ,ASD,1.0,-3.536892357376704e-06,8.405396764762556e-06,opposite_direction,1.194228912213926e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DYRK1A,ASD,1.0,3.277338468111478e-05,2.0091126604778013e-06,consistent_towards,3.076427202063698e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
CASK,ASD,0.0,-8.999373662332616e-06,1.26728399552126e-05,opposite_direction,2.167221361754521e-05,True,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
MYCBP2,ASD,0.0,-1.427384137671434e-05,-1.7725686144723765e-05,consistent_away,3.4518447680094253e-06,False,,,,,,,,,
CTNNB1,ASD,0.0,-2.8005444017568027e-05,2.5528133230865315e-05,opposite_direction,5.353357724843334e-05,True,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
BCL11A,ASD,1.0,-0.0001158430599249,-9.3818759638543e-06,consistent_away,0.000106461183961,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
TAOK1,ASD,1.0,1.10798730300023e-05,-5.854620282345406e-05,opposite_direction,6.962607585345636e-05,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
KMT5B,ASD,0.0,1.869250459280628e-05,-2.426694529925206e-06,opposite_direction,2.111919912273149e-05,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
SMARCA4,ASD,0.0,-4.655589877998568e-05,-4.631916452897042e-05,consistent_away,2.3673425101526318e-07,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ARX,ASD,1.0,-2.018050398937492e-05,-0.0001838353215431,consistent_away,0.0001636548175537,True,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
YY1,ASD,1.0,-7.279589240799277e-06,-3.652964065324015e-05,consistent_away,2.9250051412440876e-05,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GIGYF2,ASD,0.0,2.158375886770396e-05,9.062911282066538e-06,consistent_towards,1.2520847585637422e-05,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
KCNQ3,ASD,0.0,-2.407637711997344e-05,6.164814911636652e-05,opposite_direction,8.572452623633995e-05,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CREBBP,ASD,1.0,4.216896860223068e-05,-5.184813133348221e-05,opposite_direction,9.40170999357129e-05,True,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
SHANK2,ASD,0.0,8.007435672051084e-05,8.383263712343962e-05,consistent_towards,3.7582804029287817e-06,False,,,,,,,,,
TBCK,ASD,1.0,3.0204733425283177e-05,-3.4281628669341864e-05,opposite_direction,6.448636209462504e-05,True,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
NEXMIF,ASD,0.0,-4.289260617008916e-05,0.0001014838827417,opposite_direction,0.0001443764889117,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
NLGN4X,ASD,0.0,0.0001086925989703,-2.093985676765442e-05,opposite_direction,0.0001296324557379,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DDX3X,ASD,1.0,2.515973518792388e-05,-3.722779036778484e-05,opposite_direction,6.238752555570872e-05,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HECTD4,ASD,0.0,0.0001748032765845,2.4473282598680064e-05,consistent_towards,0.0001503299939858,True,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
SMARCA1,ASD,0.0,1.2335628693232116e-05,-0.0001147731145222,opposite_direction,0.0001271087432154,False,,,,,,,,,
ELAVL3,ASD,0.0,-0.0001557090065696,8.173220980483874e-06,opposite_direction,0.00016388222755,False,,,,,,,,,
VEZF1,ASD,0.0,-1.6088372674481623e-05,2.9238370748666617e-05,opposite_direction,4.532674342314824e-05,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UPF3B,ASD,1.0,-4.9806685529203496e-05,-5.190228132923623e-05,consistent_away,2.095595800032736e-06,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NSD1,ASD,1.0,1.7838493274275665e-05,-0.0001287503208187,opposite_direction,0.0001465888140929,True,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
ABCE1,ASD,0.0,-2.693418246596607e-05,-0.000104217727979,consistent_away,7.728354551303394e-05,False,,,,,,,,,
ASTN1,ASD,0.0,0.0001103894130603,-0.0002955868840217,opposite_direction,0.000405976297082,False,,,,,,,,,
DNMT3A,ASD,1.0,2.7944015551217e-05,-3.749253798504265e-05,opposite_direction,6.543655353625965e-05,True,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
IRF2BPL,ASD,1.0,9.828100078984311e-06,-4.793054018265162e-05,opposite_direction,5.775864026163593e-05,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
